run_id,loop_count,baseline_ads,baseline_time,baseline_net_time,baseline_retry_time,baseline_tokens,ma_ads,ma_time,ma_net_time,ma_retry_time,ma_tokens
1,2,9.38,1.35,1.35,0,136,9.32,11.88,11.88,0,10242
2,1,9.38,1.34,1.34,0,132,10.0,3.35,3.35,0,679
3,3,9.38,1.61,1.61,0,123,10.0,16.53,15.53,1,2493
4,1,0.0,2.61,1.61,1,57,10.0,8.29,6.29,2,1444
5,2,9.38,1.23,1.23,0,131,10.0,10.99,8.99,2,916
6,1,9.38,1.34,1.34,0,130,10.0,3.61,3.61,0,692
7,1,0.0,2.97,1.97,1,69,10.0,6.98,4.98,2,1181
8,2,0.0,3.0,2.0,1,58,10.0,10.88,9.88,1,1792
9,2,3.12,2.64,1.64,1,68,10.0,14.38,12.38,2,1952
10,1,0.0,2.91,1.91,1,62,10.0,4.55,4.55,0,925
